run_id,block,kappa,theta_perp,theta_par,ub_x,ub_y,ub_z,ub_label,mode,seed,n_samples,n_nonfinite,file
0,A,0.51000000000000001,1,2,0,0,1,z,uncapped,1001,100000,62,run_0000.bin
1,A,0.51000000000000001,1,2,0,0,1,z,uncapped,1002,100000,61,run_0001.bin
2,A,0.51000000000000001,1,2,0,0,1,z,uncapped,1003,100000,58,run_0002.bin
3,A,0.51000000000000001,1,2,0,0,1,z,uncapped,1004,100000,62,run_0003.bin
4,A,0.51000000000000001,1,2,0,0,1,z,uncapped,1005,100000,49,run_0004.bin
5,A,0.55000000000000004,1,2,0,0,1,z,uncapped,1001,100000,0,run_0005.bin
6,A,0.55000000000000004,1,2,0,0,1,z,uncapped,1002,100000,0,run_0006.bin
7,A,0.55000000000000004,1,2,0,0,1,z,uncapped,1003,100000,0,run_0007.bin
8,A,0.55000000000000004,1,2,0,0,1,z,uncapped,1004,100000,0,run_0008.bin
9,A,0.55000000000000004,1,2,0,0,1,z,uncapped,1005,100000,0,run_0009.bin
10,A,0.75,1,2,0,0,1,z,uncapped,1001,100000,0,run_0010.bin
11,A,0.75,1,2,0,0,1,z,uncapped,1002,100000,0,run_0011.bin
12,A,0.75,1,2,0,0,1,z,uncapped,1003,100000,0,run_0012.bin
13,A,0.75,1,2,0,0,1,z,uncapped,1004,100000,0,run_0013.bin
14,A,0.75,1,2,0,0,1,z,uncapped,1005,100000,0,run_0014.bin
15,A,1,1,2,0,0,1,z,uncapped,1001,100000,0,run_0015.bin
16,A,1,1,2,0,0,1,z,uncapped,1002,100000,0,run_0016.bin
17,A,1,1,2,0,0,1,z,uncapped,1003,100000,0,run_0017.bin
18,A,1,1,2,0,0,1,z,uncapped,1004,100000,0,run_0018.bin
19,A,1,1,2,0,0,1,z,uncapped,1005,100000,0,run_0019.bin
20,A,1.25,1,2,0,0,1,z,uncapped,1001,100000,0,run_0020.bin
21,A,1.25,1,2,0,0,1,z,uncapped,1002,100000,0,run_0021.bin
22,A,1.25,1,2,0,0,1,z,uncapped,1003,100000,0,run_0022.bin
23,A,1.25,1,2,0,0,1,z,uncapped,1004,100000,0,run_0023.bin
24,A,1.25,1,2,0,0,1,z,uncapped,1005,100000,0,run_0024.bin
25,A,1.5,1,2,0,0,1,z,uncapped,1001,100000,0,run_0025.bin
26,A,1.5,1,2,0,0,1,z,uncapped,1002,100000,0,run_0026.bin
27,A,1.5,1,2,0,0,1,z,uncapped,1003,100000,0,run_0027.bin
28,A,1.5,1,2,0,0,1,z,uncapped,1004,100000,0,run_0028.bin
29,A,1.5,1,2,0,0,1,z,uncapped,1005,100000,0,run_0029.bin
30,A,2,1,2,0,0,1,z,uncapped,1001,100000,0,run_0030.bin
31,A,2,1,2,0,0,1,z,uncapped,1002,100000,0,run_0031.bin
32,A,2,1,2,0,0,1,z,uncapped,1003,100000,0,run_0032.bin
33,A,2,1,2,0,0,1,z,uncapped,1004,100000,0,run_0033.bin
34,A,2,1,2,0,0,1,z,uncapped,1005,100000,0,run_0034.bin
35,A,5,1,2,0,0,1,z,uncapped,1001,100000,0,run_0035.bin
36,A,5,1,2,0,0,1,z,uncapped,1002,100000,0,run_0036.bin
37,A,5,1,2,0,0,1,z,uncapped,1003,100000,0,run_0037.bin
38,A,5,1,2,0,0,1,z,uncapped,1004,100000,0,run_0038.bin
39,A,5,1,2,0,0,1,z,uncapped,1005,100000,0,run_0039.bin
40,A,10,1,2,0,0,1,z,uncapped,1001,100000,0,run_0040.bin
41,A,10,1,2,0,0,1,z,uncapped,1002,100000,0,run_0041.bin
42,A,10,1,2,0,0,1,z,uncapped,1003,100000,0,run_0042.bin
43,A,10,1,2,0,0,1,z,uncapped,1004,100000,0,run_0043.bin
44,A,10,1,2,0,0,1,z,uncapped,1005,100000,0,run_0044.bin
45,B,0.55000000000000004,1,1,0,0,1,z,uncapped,1001,100000,0,run_0045.bin
46,B,0.55000000000000004,1,1,0,0,1,z,uncapped,1002,100000,0,run_0046.bin
47,B,0.55000000000000004,1,1,0,0,1,z,uncapped,1003,100000,0,run_0047.bin
48,B,0.55000000000000004,1,1,0,0,1,z,uncapped,1004,100000,0,run_0048.bin
49,B,0.55000000000000004,1,1,0,0,1,z,uncapped,1005,100000,0,run_0049.bin
50,B,0.55000000000000004,1,1,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1001,100000,0,run_0050.bin
51,B,0.55000000000000004,1,1,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1002,100000,0,run_0051.bin
52,B,0.55000000000000004,1,1,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1003,100000,0,run_0052.bin
53,B,0.55000000000000004,1,1,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1004,100000,0,run_0053.bin
54,B,0.55000000000000004,1,1,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1005,100000,0,run_0054.bin
55,B,0.55000000000000004,1,1,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1001,100000,0,run_0055.bin
56,B,0.55000000000000004,1,1,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1002,100000,0,run_0056.bin
57,B,0.55000000000000004,1,1,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1003,100000,0,run_0057.bin
58,B,0.55000000000000004,1,1,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1004,100000,0,run_0058.bin
59,B,0.55000000000000004,1,1,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1005,100000,0,run_0059.bin
60,B,0.55000000000000004,1,2,0,0,1,z,uncapped,1001,100000,0,run_0060.bin
61,B,0.55000000000000004,1,2,0,0,1,z,uncapped,1002,100000,0,run_0061.bin
62,B,0.55000000000000004,1,2,0,0,1,z,uncapped,1003,100000,0,run_0062.bin
63,B,0.55000000000000004,1,2,0,0,1,z,uncapped,1004,100000,0,run_0063.bin
64,B,0.55000000000000004,1,2,0,0,1,z,uncapped,1005,100000,0,run_0064.bin
65,B,0.55000000000000004,1,2,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1001,100000,0,run_0065.bin
66,B,0.55000000000000004,1,2,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1002,100000,0,run_0066.bin
67,B,0.55000000000000004,1,2,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1003,100000,0,run_0067.bin
68,B,0.55000000000000004,1,2,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1004,100000,0,run_0068.bin
69,B,0.55000000000000004,1,2,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1005,100000,0,run_0069.bin
70,B,0.55000000000000004,1,2,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1001,100000,0,run_0070.bin
71,B,0.55000000000000004,1,2,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1002,100000,0,run_0071.bin
72,B,0.55000000000000004,1,2,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1003,100000,0,run_0072.bin
73,B,0.55000000000000004,1,2,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1004,100000,0,run_0073.bin
74,B,0.55000000000000004,1,2,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1005,100000,0,run_0074.bin
75,B,2,1,1,0,0,1,z,uncapped,1001,100000,0,run_0075.bin
76,B,2,1,1,0,0,1,z,uncapped,1002,100000,0,run_0076.bin
77,B,2,1,1,0,0,1,z,uncapped,1003,100000,0,run_0077.bin
78,B,2,1,1,0,0,1,z,uncapped,1004,100000,0,run_0078.bin
79,B,2,1,1,0,0,1,z,uncapped,1005,100000,0,run_0079.bin
80,B,2,1,1,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1001,100000,0,run_0080.bin
81,B,2,1,1,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1002,100000,0,run_0081.bin
82,B,2,1,1,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1003,100000,0,run_0082.bin
83,B,2,1,1,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1004,100000,0,run_0083.bin
84,B,2,1,1,0.57735026918962584,0.57735026918962584,0.57735026918962584,diag111,uncapped,1005,100000,0,run_0084.bin
85,B,2,1,1,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1001,100000,0,run_0085.bin
86,B,2,1,1,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1002,100000,0,run_0086.bin
87,B,2,1,1,0.30304576336566319,-0.5050762722761053,0.80812203564176865,oblique,uncapped,1003,100000,0,run_0087.bin
