run_id,block,kappa,theta_perp,theta_par,ub_x,ub_y,ub_z,mode,lambda,seed,n_samples,n_nonfinite,file
0,A,0.75,1,2,0,0,1,uncapped,inf,2001,100000,0,run_0000.bin
1,A,0.75,1,2,0,0,1,uncapped,inf,2002,100000,0,run_0001.bin
2,A,0.75,1,2,0,0,1,uncapped,inf,2003,100000,0,run_0002.bin
3,A,0.75,1,2,0,0,1,uncapped,inf,2004,100000,0,run_0003.bin
4,A,0.75,1,2,0,0,1,uncapped,inf,2005,100000,0,run_0004.bin
5,A,0.75,1,2,0,0,1,capped,3,2001,100000,0,run_0005.bin
6,A,0.75,1,2,0,0,1,capped,3,2002,100000,0,run_0006.bin
7,A,0.75,1,2,0,0,1,capped,3,2003,100000,0,run_0007.bin
8,A,0.75,1,2,0,0,1,capped,3,2004,100000,0,run_0008.bin
9,A,0.75,1,2,0,0,1,capped,3,2005,100000,0,run_0009.bin
10,A,0.75,1,2,0,0,1,capped,5,2001,100000,0,run_0010.bin
11,A,0.75,1,2,0,0,1,capped,5,2002,100000,0,run_0011.bin
12,A,0.75,1,2,0,0,1,capped,5,2003,100000,0,run_0012.bin
13,A,0.75,1,2,0,0,1,capped,5,2004,100000,0,run_0013.bin
14,A,0.75,1,2,0,0,1,capped,5,2005,100000,0,run_0014.bin
15,A,0.75,1,2,0,0,1,capped,10,2001,100000,0,run_0015.bin
16,A,0.75,1,2,0,0,1,capped,10,2002,100000,0,run_0016.bin
17,A,0.75,1,2,0,0,1,capped,10,2003,100000,0,run_0017.bin
18,A,0.75,1,2,0,0,1,capped,10,2004,100000,0,run_0018.bin
19,A,0.75,1,2,0,0,1,capped,10,2005,100000,0,run_0019.bin
20,A,0.75,1,2,0,0,1,capped,20,2001,100000,0,run_0020.bin
21,A,0.75,1,2,0,0,1,capped,20,2002,100000,0,run_0021.bin
22,A,0.75,1,2,0,0,1,capped,20,2003,100000,0,run_0022.bin
23,A,0.75,1,2,0,0,1,capped,20,2004,100000,0,run_0023.bin
24,A,0.75,1,2,0,0,1,capped,20,2005,100000,0,run_0024.bin
25,A,0.75,1,2,0,0,1,capped,50,2001,100000,0,run_0025.bin
26,A,0.75,1,2,0,0,1,capped,50,2002,100000,0,run_0026.bin
27,A,0.75,1,2,0,0,1,capped,50,2003,100000,0,run_0027.bin
28,A,0.75,1,2,0,0,1,capped,50,2004,100000,0,run_0028.bin
29,A,0.75,1,2,0,0,1,capped,50,2005,100000,0,run_0029.bin
30,A,0.75,1,2,0,0,1,capped,100,2001,100000,0,run_0030.bin
31,A,0.75,1,2,0,0,1,capped,100,2002,100000,0,run_0031.bin
32,A,0.75,1,2,0,0,1,capped,100,2003,100000,0,run_0032.bin
33,A,0.75,1,2,0,0,1,capped,100,2004,100000,0,run_0033.bin
34,A,0.75,1,2,0,0,1,capped,100,2005,100000,0,run_0034.bin
35,A,1,1,2,0,0,1,uncapped,inf,2001,100000,0,run_0035.bin
36,A,1,1,2,0,0,1,uncapped,inf,2002,100000,0,run_0036.bin
37,A,1,1,2,0,0,1,uncapped,inf,2003,100000,0,run_0037.bin
38,A,1,1,2,0,0,1,uncapped,inf,2004,100000,0,run_0038.bin
39,A,1,1,2,0,0,1,uncapped,inf,2005,100000,0,run_0039.bin
40,A,1,1,2,0,0,1,capped,3,2001,100000,0,run_0040.bin
41,A,1,1,2,0,0,1,capped,3,2002,100000,0,run_0041.bin
42,A,1,1,2,0,0,1,capped,3,2003,100000,0,run_0042.bin
43,A,1,1,2,0,0,1,capped,3,2004,100000,0,run_0043.bin
44,A,1,1,2,0,0,1,capped,3,2005,100000,0,run_0044.bin
45,A,1,1,2,0,0,1,capped,5,2001,100000,0,run_0045.bin
46,A,1,1,2,0,0,1,capped,5,2002,100000,0,run_0046.bin
47,A,1,1,2,0,0,1,capped,5,2003,100000,0,run_0047.bin
48,A,1,1,2,0,0,1,capped,5,2004,100000,0,run_0048.bin
49,A,1,1,2,0,0,1,capped,5,2005,100000,0,run_0049.bin
50,A,1,1,2,0,0,1,capped,10,2001,100000,0,run_0050.bin
51,A,1,1,2,0,0,1,capped,10,2002,100000,0,run_0051.bin
52,A,1,1,2,0,0,1,capped,10,2003,100000,0,run_0052.bin
53,A,1,1,2,0,0,1,capped,10,2004,100000,0,run_0053.bin
54,A,1,1,2,0,0,1,capped,10,2005,100000,0,run_0054.bin
55,A,1,1,2,0,0,1,capped,20,2001,100000,0,run_0055.bin
56,A,1,1,2,0,0,1,capped,20,2002,100000,0,run_0056.bin
57,A,1,1,2,0,0,1,capped,20,2003,100000,0,run_0057.bin
58,A,1,1,2,0,0,1,capped,20,2004,100000,0,run_0058.bin
59,A,1,1,2,0,0,1,capped,20,2005,100000,0,run_0059.bin
60,A,1,1,2,0,0,1,capped,50,2001,100000,0,run_0060.bin
61,A,1,1,2,0,0,1,capped,50,2002,100000,0,run_0061.bin
62,A,1,1,2,0,0,1,capped,50,2003,100000,0,run_0062.bin
63,A,1,1,2,0,0,1,capped,50,2004,100000,0,run_0063.bin
64,A,1,1,2,0,0,1,capped,50,2005,100000,0,run_0064.bin
65,A,1,1,2,0,0,1,capped,100,2001,100000,0,run_0065.bin
66,A,1,1,2,0,0,1,capped,100,2002,100000,0,run_0066.bin
67,A,1,1,2,0,0,1,capped,100,2003,100000,0,run_0067.bin
68,A,1,1,2,0,0,1,capped,100,2004,100000,0,run_0068.bin
69,A,1,1,2,0,0,1,capped,100,2005,100000,0,run_0069.bin
70,A,1.5,1,2,0,0,1,uncapped,inf,2001,100000,0,run_0070.bin
71,A,1.5,1,2,0,0,1,uncapped,inf,2002,100000,0,run_0071.bin
72,A,1.5,1,2,0,0,1,uncapped,inf,2003,100000,0,run_0072.bin
73,A,1.5,1,2,0,0,1,uncapped,inf,2004,100000,0,run_0073.bin
74,A,1.5,1,2,0,0,1,uncapped,inf,2005,100000,0,run_0074.bin
75,A,1.5,1,2,0,0,1,capped,3,2001,100000,0,run_0075.bin
76,A,1.5,1,2,0,0,1,capped,3,2002,100000,0,run_0076.bin
77,A,1.5,1,2,0,0,1,capped,3,2003,100000,0,run_0077.bin
78,A,1.5,1,2,0,0,1,capped,3,2004,100000,0,run_0078.bin
79,A,1.5,1,2,0,0,1,capped,3,2005,100000,0,run_0079.bin
80,A,1.5,1,2,0,0,1,capped,5,2001,100000,0,run_0080.bin
81,A,1.5,1,2,0,0,1,capped,5,2002,100000,0,run_0081.bin
82,A,1.5,1,2,0,0,1,capped,5,2003,100000,0,run_0082.bin
83,A,1.5,1,2,0,0,1,capped,5,2004,100000,0,run_0083.bin
84,A,1.5,1,2,0,0,1,capped,5,2005,100000,0,run_0084.bin
85,A,1.5,1,2,0,0,1,capped,10,2001,100000,0,run_0085.bin
86,A,1.5,1,2,0,0,1,capped,10,2002,100000,0,run_0086.bin
87,A,1.5,1,2,0,0,1,capped,10,2003,100000,0,run_0087.bin
88,A,1.5,1,2,0,0,1,capped,10,2004,100000,0,run_0088.bin
89,A,1.5,1,2,0,0,1,capped,10,2005,100000,0,run_0089.bin
90,A,1.5,1,2,0,0,1,capped,20,2001,100000,0,run_0090.bin
91,A,1.5,1,2,0,0,1,capped,20,2002,100000,0,run_0091.bin
92,A,1.5,1,2,0,0,1,capped,20,2003,100000,0,run_0092.bin
93,A,1.5,1,2,0,0,1,capped,20,2004,100000,0,run_0093.bin
94,A,1.5,1,2,0,0,1,capped,20,2005,100000,0,run_0094.bin
95,A,1.5,1,2,0,0,1,capped,50,2001,100000,0,run_0095.bin
96,A,1.5,1,2,0,0,1,capped,50,2002,100000,0,run_0096.bin
97,A,1.5,1,2,0,0,1,capped,50,2003,100000,0,run_0097.bin
98,A,1.5,1,2,0,0,1,capped,50,2004,100000,0,run_0098.bin
99,A,1.5,1,2,0,0,1,capped,50,2005,100000,0,run_0099.bin
100,A,1.5,1,2,0,0,1,capped,100,2001,100000,0,run_0100.bin
101,A,1.5,1,2,0,0,1,capped,100,2002,100000,0,run_0101.bin
102,A,1.5,1,2,0,0,1,capped,100,2003,100000,0,run_0102.bin
103,A,1.5,1,2,0,0,1,capped,100,2004,100000,0,run_0103.bin
104,A,1.5,1,2,0,0,1,capped,100,2005,100000,0,run_0104.bin
105,A,2,1,2,0,0,1,uncapped,inf,2001,100000,0,run_0105.bin
106,A,2,1,2,0,0,1,uncapped,inf,2002,100000,0,run_0106.bin
