scope,tag,stdlib,arch,case,method,precision,kappa,cap,block,slot,candidate_first,seed,n_returned,n_finite,n_nonfinite,attempts_reported,seconds,seconds_per_returned,ratio_candidate_over_legacy,ratio_lo,ratio_hi,ratio_conf,boot_kind,boot_resamples,boot_rng_seed,boot_n_seeds,pre_registered_bound,repeat_identical,protocol_sha256
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,0,0,true,9006,26935303,26935284,19,26935303,2.14439954,7.96129726849555e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,0,1,true,9006,20184292,20172236,12056,0,1.87769533,9.302755494222933e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,1,1,false,9007,26935303,26935282,21,26935303,2.12545058,7.890947367475317e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,1,0,false,9007,20184292,20172422,11870,0,1.864028,9.235042774846895e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,2,1,false,9008,26935303,26935281,22,26935303,2.12111767,7.874860984485677e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,2,0,false,9008,20184292,20172344,11948,0,1.8634835,9.232345132541682e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,3,0,true,9009,26935303,26935288,15,26935303,2.12684142,7.896110977478145e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,3,1,true,9009,20184292,20172483,11809,0,1.87056183,9.267413655133408e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,4,1,false,9010,26935303,26935276,27,26935303,2.12442679,7.887146437521047e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,4,0,false,9010,20184292,20172249,12043,0,1.87222017,9.27562961336469e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,5,1,false,9006,26935303,26935284,19,26935303,2.1331715,7.919612042233198e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,5,0,false,9006,20184292,20172236,12056,0,1.87198608,9.274469889753873e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,6,0,true,9007,26935303,26935282,21,26935303,2.12262375,7.880452467900583e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,6,1,true,9007,20184292,20172422,11870,0,1.86012971,9.215729280967596e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,7,1,false,9008,26935303,26935281,22,26935303,2.13153692,7.913543489746524e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,7,0,false,9008,20184292,20172344,11948,0,1.8584515,9.207414855076413e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,8,1,false,9009,26935303,26935288,15,26935303,2.13031025,7.908989366111827e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,8,0,false,9009,20184292,20172483,11809,0,1.8851715,9.339795024764802e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,9,1,false,9010,26935303,26935276,27,26935303,2.11643354,7.857470703039798e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,9,0,false,9010,20184292,20172249,12043,0,1.85825292,9.206431000899116e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
block,libcxx,libc++,arm64,B1,CANDIDATE,float,0.55,NA,0,0,true,9006,35199143,35194308,4835,35199143,2.27913967,6.474986240432047e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
