tag,precision,kappa,shape_a,method,bin_kind,bin_hi,bin_lo,n_in_bin,n_success,success_rate,ci_lo,ci_hi,is_upper_bound,merged,n_seeds,n_total
libcxx,double,0.501,0.0010000000000000009,SPLIT,target_upper_tail_q,1.0,0.5,2499540,2499540,1.0,0.9999985241777559,1.0,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,target_upper_tail_q,1.0,0.5,2499540,2499540,1.0,0.9999985241777559,1.0,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,QF,target_upper_tail_q,1.0,0.5,2499540,2499540,1.0,0.9999985241777559,1.0,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,SPLIT,target_upper_tail_q,0.5,0.1,2000700,124503,0.06222971959814065,0.06189536604139959,0.06256534100634027,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,target_upper_tail_q,0.5,0.1,2000700,1292819,0.6461833358324587,0.6455203163817262,0.6468459321205438,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,QF,target_upper_tail_q,0.5,0.1,2000700,39439,0.019712600589793572,0.01952042409892696,0.01990616908316202,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,SPLIT,target_upper_tail_q,0.1,0.01,449846,0,0.0,0.0,6.659439671818923e-06,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,target_upper_tail_q,0.1,0.01,449846,0,0.0,0.0,6.659439671818923e-06,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,QF,target_upper_tail_q,0.1,0.01,449846,0,0.0,0.0,6.659439671818923e-06,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,SPLIT,target_upper_tail_q,0.01,0.001,44961,0,0.0,0.0,6.66273542311302e-05,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,target_upper_tail_q,0.01,0.001,44961,0,0.0,0.0,6.66273542311302e-05,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,QF,target_upper_tail_q,0.01,0.001,44961,0,0.0,0.0,6.66273542311302e-05,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,SPLIT,target_upper_tail_q,0.001,0.0001,4418,0,0.0,0.0,0.0006778444632283831,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,target_upper_tail_q,0.001,0.0001,4418,0,0.0,0.0,0.0006778444632283831,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,QF,target_upper_tail_q,0.001,0.0001,4418,0,0.0,0.0,0.0006778444632283831,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,SPLIT,target_upper_tail_q,0.0001,1e-05,478,0,0.0,0.0,0.006247624254950512,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,target_upper_tail_q,0.0001,1e-05,478,0,0.0,0.0,0.006247624254950512,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,QF,target_upper_tail_q,0.0001,1e-05,478,0,0.0,0.0,0.006247624254950512,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,SPLIT,target_upper_tail_q,1e-05,0.0,57,0,0.0,0.0,0.05119948367703919,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,target_upper_tail_q,1e-05,0.0,57,0,0.0,0.0,0.05119948367703919,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,QF,target_upper_tail_q,1e-05,0.0,57,0,0.0,0.0,0.05119948367703919,true,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,SPLIT,log_radius,52.9339306466091,-2.6233783294477155,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,log_radius,52.9339306466091,-2.6233783294477155,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,SPLIT,log_radius,111.86902686116875,52.9339306466091,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,log_radius,111.86902686116875,52.9339306466091,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,SPLIT,log_radius,178.6255945872997,111.86902686116875,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
libcxx,double,0.501,0.0010000000000000009,LOG,log_radius,178.6255945872997,111.86902686116875,500000,500000,1.0,0.9999926222683073,1.0,false,false,5,5000000
