scope,tag,case,method,precision,kappa,cap,attempts_1,attempts_2,attempts_per_return,block,block_order,cap_rejects,cap_rejects_per_return,engine_calls,engine_calls_1,engine_calls_2,engine_calls_per_return,gamma_variates,gamma_variates_per_return,iqr_ratio,iqr_seconds_per_attempt,iqr_seconds_per_return,log_primitive,median_seconds_per_attempt,median_seconds_per_return,median_time_per_return_ratio,n_attempted,n_blocks,n_finite,n_returned,ratio_ci_hi,ratio_ci_lo,repeat_identical,seconds,seconds_per_attempt,seconds_per_return,total_attempts,total_returned,uniform_variates,uniform_variates_per_return
block,libcxx,B0,LOG,double,0.51,NA,NA,NA,1.0,0,1,0,NA,306612824,NA,NA,NA,19738148,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,19738148,NA,19738133,19738148,NA,NA,NA,2.31662383,1.1736784170429769e-07,1.1736784170429769e-07,NA,NA,79327368,NA
block,libcxx,B0,LOG,double,0.51,NA,NA,NA,1.0,1,0,0,NA,306638324,NA,NA,NA,19738148,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,19738148,NA,19738140,19738148,NA,NA,NA,2.31161087,1.1711386853518375e-07,1.1711386853518375e-07,NA,NA,79325822,NA
block,libcxx,B0,LOG,double,0.51,NA,NA,NA,1.0,2,1,0,NA,306611580,NA,NA,NA,19738148,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,19738148,NA,19738131,19738148,NA,NA,NA,2.31259267,1.1716360977737121e-07,1.1716360977737121e-07,NA,NA,79325106,NA
block,libcxx,B0,LOG,double,0.51,NA,NA,NA,1.0,3,0,0,NA,306664476,NA,NA,NA,19738148,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,19738148,NA,19738136,19738148,NA,NA,NA,2.30731079,1.1689601222971881e-07,1.1689601222971881e-07,NA,NA,79325898,NA
block,libcxx,B0,LOG,double,0.51,NA,NA,NA,1.0,4,1,0,NA,306623796,NA,NA,NA,19738148,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,19738148,NA,19738135,19738148,NA,NA,NA,2.36102742,1.196174747499107e-07,1.196174747499107e-07,NA,NA,79326966,NA
block,libcxx,B0,LOG,double,0.51,NA,NA,NA,1.0,5,0,0,NA,306620280,NA,NA,NA,19738148,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,19738148,NA,19738140,19738148,NA,NA,NA,2.3103895,1.1705198988273874e-07,1.1705198988273874e-07,NA,NA,79326994,NA
block,libcxx,B0,LOG,double,0.51,NA,NA,NA,1.0,6,1,0,NA,306673296,NA,NA,NA,19738148,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,19738148,NA,19738135,19738148,NA,NA,NA,2.31628804,1.1735082946991784e-07,1.1735082946991784e-07,NA,NA,79325552,NA
block,libcxx,B0,LOG,double,0.51,NA,NA,NA,1.0,7,0,0,NA,306649740,NA,NA,NA,19738148,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,19738148,NA,19738138,19738148,NA,NA,NA,2.31208442,1.1713786014777072e-07,1.1713786014777072e-07,NA,NA,79325554,NA
block,libcxx,B0,LOG,double,0.51,NA,NA,NA,1.0,8,1,0,NA,306641348,NA,NA,NA,19738148,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,19738148,NA,19738133,19738148,NA,NA,NA,2.32843512,1.179662408043551e-07,1.179662408043551e-07,NA,NA,79325534,NA
block,libcxx,B0,LOG,double,0.51,NA,NA,NA,1.0,9,0,0,NA,306610304,NA,NA,NA,19738148,NA,NA,NA,NA,LOG-PUB,NA,NA,NA,19738148,NA,19738134,19738148,NA,NA,NA,2.30966754,1.1701541299619397e-07,1.1701541299619397e-07,NA,NA,79326540,NA
