scope,tag,case,precision,kappa,cap,method,block,n_blocks,median_seconds_per_attempt,iqr_seconds_per_attempt,median_seconds_per_return,iqr_seconds_per_return,total_attempts,total_returned,gamma_variates_per_return,uniform_variates_per_return,engine_calls_per_return,cap_rejects_per_return,log_primitive,arch,os,cxxflags,subnormals_flushed,rounding_mode,median_time_per_return_ratio,ratio_ci_lo,ratio_ci_hi,iqr_ratio
summary,libcxx,B0,double,0.51,NA,LOG,NA,10,1.1715073496257097e-07,2.961290998527267e-10,1.1715073496257097e-07,2.961290998527267e-10,197381480,197381480,1.0,4.018924845431294,15.535125017808156,0.0,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libcxx,B0,double,0.51,NA,SPLIT,NA,10,9.312661529921578e-08,1.6455651150041222e-10,9.312661529921578e-08,1.6455651150041222e-10,247109790,247109790,2.0,2.0,15.52014917741624,0.0,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libcxx,B1,float,0.55,NA,LOG,NA,10,8.847925975347942e-08,1.4312912161445753e-10,8.847925975347942e-08,1.4312912161445753e-10,261406970,261406970,1.0,4.094247517577668,7.842665786608521,0.0,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libcxx,B1,float,0.55,NA,SPLIT,NA,10,7.384299821734566e-08,6.982315461346984e-11,7.384299821734566e-08,6.982315461346984e-11,310060110,310060110,2.0,2.0,7.802858123220043,0.0,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libcxx,B2,double,0.75,NA,LOG,NA,10,1.337921868757774e-07,2.362025608264646e-10,1.337921868757774e-07,2.362025608264646e-10,172038990,172038990,1.0,4.477138397522562,16.45179528198811,0.0,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libcxx,B2,double,0.75,NA,SPLIT,NA,10,1.0067070401076664e-07,3.152545181856881e-10,1.0067070401076664e-07,3.152545181856881e-10,225065450,225065450,2.0,2.0,15.910276766158466,0.0,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libcxx,B3,double,0.51,5,LOG,NA,10,1.11925942366815e-07,9.176992892077022e-10,3.0904737676146797e-06,2.848571219959407e-08,204317231,7395820,27.626041601877816,111.026894110457,429.17589935936786,26.626041601877816,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libcxx,B3,double,0.51,5,SPLIT,NA,10,9.367274779741072e-08,2.454735468591831e-10,2.586731637341928e-06,7.662839673073058e-09,245691155,8898630,55.21999566225363,55.21999566225363,428.5116324647727,26.609997831126815,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libcxx,B4,double,0.51,20,LOG,NA,10,1.1357760026471104e-07,1.0005983266238001e-09,1.820850792240864e-06,1.553258188406017e-08,200777503,12518920,16.03792523636224,64.45517952027811,249.1517054186783,15.037925236362241,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libcxx,B4,double,0.51,20,SPLIT,NA,10,9.45453145346206e-08,3.958298686368013e-10,1.5165387252214711e-06,6.392731260818438e-09,245073553,15286420,32.06421817534779,32.06421817534779,248.82143811304414,15.032109087673897,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libstdcxx,B0,double,0.51,NA,LOG,NA,10,8.212046748416488e-08,3.8627075055433383e-10,8.212046748416488e-08,3.8627075055433383e-10,284547820,284547820,1.0,4.018890139450023,12.708361441672617,0.0,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libstdcxx,B0,double,0.51,NA,SPLIT,NA,10,7.197426737447331e-08,1.457837735071262e-10,7.197426737447331e-08,1.457837735071262e-10,319222770,319222770,2.0,2.0,15.430135613446371,0.0,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libstdcxx,B1,float,0.55,NA,LOG,NA,10,5.919647932646918e-08,2.9444996631297727e-10,5.919647932646918e-08,2.9444996631297727e-10,391322850,391322850,1.0,4.094197693796823,6.429440184747709,0.0,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libstdcxx,B1,float,0.55,NA,SPLIT,NA,10,5.3233388925785904e-08,1.3173648078958508e-10,5.3233388925785904e-08,1.3173648078958508e-10,433308220,433308220,2.0,2.0,7.709456194945944,0.0,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libstdcxx,B2,double,0.75,NA,LOG,NA,10,1.01792408653241e-07,2.7054581399422213e-10,1.01792408653241e-07,2.7054581399422213e-10,227216600,227216600,1.0,4.477135922287368,13.62481867962112,0.0,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libstdcxx,B2,double,0.75,NA,SPLIT,NA,10,7.178904599446627e-08,2.470031553753429e-10,7.178904599446627e-08,2.470031553753429e-10,318912930,318912930,2.0,2.0,15.37620234463369,0.0,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libstdcxx,B3,double,0.51,5,LOG,NA,10,8.454648648171e-08,2.413287001325334e-10,2.336288760339269e-06,5.495805527404342e-09,268015108,9699670,27.631363541233878,111.04748120296875,351.15013356124484,26.631363541233878,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libstdcxx,B3,double,0.51,5,SPLIT,NA,10,7.34064592967736e-08,1.2024889535091278e-10,2.028811014738714e-06,4.845719386670834e-09,313377425,11336810,55.284939061340886,55.284939061340886,426.52708072200204,26.642469530670443,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libstdcxx,B4,double,0.51,20,LOG,NA,10,8.634329411016411e-08,3.357315698621816e-10,1.385316304608741e-06,6.283648706451761e-09,266592171,16622110,16.038407338177883,64.45663492781603,203.82223496294995,15.038407338177885,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
summary,libstdcxx,B4,double,0.51,20,SPLIT,NA,10,7.454818915301966e-08,1.665519449351361e-10,1.196530312524172e-06,2.579319861100502e-09,309003007,19262830,32.08282552459841,32.08282552459841,247.52106933404906,15.041412762299204,LOG-PUB,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,NA,NA,NA,NA
ratio,libcxx,B0,double,0.51,NA,LOG/SPLIT,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,1.260292559452824,1.2563557022149439,1.2629161486042317,0.005783403033957191
ratio,libcxx,B1,float,0.55,NA,LOG/SPLIT,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,1.1973235275640437,1.1966939620575157,1.2010940607595846,0.0024864593927227396
ratio,libcxx,B2,double,0.75,NA,LOG/SPLIT,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,1.3303140244829263,1.3257740051427886,1.338723156166576,0.005892214484819469
ratio,libcxx,B3,double,0.51,5,LOG/SPLIT,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,arm64,macOS-26.7-arm64-arm-64bit,-Wall -Wextra -std=c++11 -O2 -ffp-contract=off,false,FE_TONEAREST,1.1962022756632642,1.1917605003526976,1.2059212068880873,0.012500430930378892
