tag,precision,kappa,shape_a,method,p,n_attempted,n_success,target_log_r_quantile,rho_attempt,rho_attempt_lo,rho_attempt_hi,rho_cond,rho_cond_lo,rho_cond_hi,conditional_log_r_quantile,conditional_log_r_quantile_lo,conditional_log_r_quantile_hi,conditional_log_r_quantile_error,quantile_resolved,unconditional_failure_probability,failure_ci_lo,failure_ci_hi,failure_is_upper_bound,bootstrap_resamples,interval_conf,n_seeds
libcxx,double,0.501,0.0010000000000000009,SPLIT,0.99,5000000,2624043,2302.8917684116877,0.0,0.0,0.0,0.0,0.0,0.0,366.9767144053963,366.89796962827324,367.05559952465035,-1935.9150540062915,true,0.4751914,0.474753593003498,0.4756292357266683,false,10000,0.99,5
libcxx,double,0.501,0.0010000000000000009,SPLIT,0.999,5000000,2624043,3454.184314908709,0.0,0.0,0.0,0.0,0.0,0.0,372.0075447571011,371.9740592172877,372.0387176197238,-3082.176770151608,true,0.4751914,0.474753593003498,0.4756292357266683,false,10000,0.99,5
libcxx,double,0.501,0.0010000000000000009,SPLIT,0.9999,5000000,2624043,4605.4768614057875,0.0,0.0,0.0,0.0,0.0,0.0,372.9011477913251,372.8719657708305,372.939257721448,-4232.575713614462,true,0.4751914,0.474753593003498,0.4756292357266683,false,10000,0.99,5
libcxx,double,0.501,0.0010000000000000009,LOG,0.99,5000000,3792359,2302.8917684116877,0.0,0.0,0.0,0.0,0.0,0.0,694.981804753303,694.7875888621176,695.1853256237074,-1607.9099636583846,true,0.2415282,0.2411530895697333,0.24190360977461667,false,10000,0.99,5
libcxx,double,0.501,0.0010000000000000009,LOG,0.999,5000000,3792359,3454.184314908709,0.0,0.0,0.0,0.0,0.0,0.0,708.7633095623969,708.7044802704498,708.822108738326,-2745.421005346312,true,0.2415282,0.2411530895697333,0.24190360977461667,false,10000,0.99,5
libcxx,double,0.501,0.0010000000000000009,LOG,0.9999,5000000,3792359,4605.4768614057875,0.0,0.0,0.0,0.0,0.0,0.0,710.1770302820476,710.1492582192577,710.1983488802803,-3895.2998311237398,true,0.2415282,0.2411530895697333,0.24190360977461667,false,10000,0.99,5
libcxx,double,0.505,0.0050000000000000044,SPLIT,0.99,5000000,4879505,460.8229870221404,0.0,0.0,0.0,0.0,0.0,0.0,338.5284806935455,338.21349970174487,338.82084157243753,-122.29450632859493,true,0.024099,0.02396475512481927,0.024233796380037434,false,10000,0.99,5
libcxx,double,0.505,0.0050000000000000044,SPLIT,0.999,5000000,4879505,691.0814963215446,0.0,0.0,0.0,0.0,0.0,0.0,368.44726968772505,368.31592459026706,368.5768055159485,-322.63422663381954,true,0.024099,0.02396475512481927,0.024233796380037434,false,10000,0.99,5
libcxx,double,0.505,0.0050000000000000044,SPLIT,0.9999,5000000,4879505,921.3400056209603,0.0,0.0,0.0,0.0,0.0,0.0,372.233791584562,372.1683870950993,372.28256439820797,-549.1062140363982,true,0.024099,0.02396475512481927,0.024233796380037434,false,10000,0.99,5
libcxx,double,0.505,0.0050000000000000044,LOG,0.99,5000000,4995933,460.8229870221404,0.9160399999999993,0.9052796999999992,0.9270400999999991,0.9167857134993597,0.9060166539463191,0.9277947682645056,453.0200441155934,452.00437218863647,453.9932037876947,-7.802942906547003,true,0.0008134,0.0007886011012578936,0.0008387798808377632,false,10000,0.99,5
libcxx,double,0.505,0.0050000000000000044,LOG,0.999,5000000,4995933,691.0814963215446,0.17299999999999985,0.15839999999999987,0.18799999999999983,0.17314083275336142,0.15852894744585233,0.1881530436857338,629.8163940582842,628.0533677236964,631.6194182551695,-61.26510226326036,true,0.0008134,0.0007886011012578936,0.0008387798808377632,false,10000,0.99,5
libcxx,double,0.505,0.0050000000000000044,LOG,0.9999,5000000,4995933,921.3400056209603,0.0,0.0,0.0,0.0,0.0,0.0,698.9244186771667,698.0977325269174,699.9374628839661,-222.41558694379353,true,0.0008134,0.0007886011012578936,0.0008387798808377632,false,10000,0.99,5
libcxx,double,0.51,0.010000000000000009,SPLIT,0.99,5000000,4997163,230.56359981177187,0.9404599999999993,0.9295998999999993,0.9515999999999992,0.940993919950179,0.9301276544311234,0.9521402443746573,227.6771434838701,227.21031973918522,228.16282781730604,-2.8864563279017545,true,0.0005674,0.0005467167662713344,0.0005886651046588643,false,10000,0.99,5
libcxx,double,0.51,0.010000000000000009,SPLIT,0.999,5000000,4997163,345.692854461474,0.4181999999999996,0.3955999999999997,0.4423999999999996,0.41843742139289797,0.39582459087286087,0.4426511602683359,322.38203302089556,321.2552370434133,323.4371267397412,-23.310821440578422,true,0.0005674,0.0005467167662713344,0.0005886651046588643,false,10000,0.99,5
libcxx,double,0.51,0.010000000000000009,SPLIT,0.9999,5000000,4997163,460.82210911118176,0.0,0.0,0.0,0.0,0.0,0.0,364.6759005099174,363.7592128483583,365.41034569416075,-96.14620860126433,true,0.0005674,0.0005467167662713344,0.0005886651046588643,false,10000,0.99,5
libcxx,double,0.51,0.010000000000000009,LOG,0.99,5000000,4999995,230.56359981177187,0.9970999999999992,0.9857592999999991,1.0082399999999991,0.9971009971009963,0.985760285760285,1.0082410082410074,230.41391838087665,229.8991407119033,230.92073392454895,-0.1496814308952139,true,1e-06,3.246973551884662e-07,2.3336648596986128e-06,false,10000,0.99,5
libcxx,double,0.51,0.010000000000000009,LOG,0.999,5000000,4999995,345.692854461474,0.9845999999999991,0.9485999999999991,1.0212009999999991,0.9846009846009838,0.9486009486009478,1.02120202120202,344.8683295715128,343.27245727298987,346.7065818702025,-0.8245248899611965,true,1e-06,3.246973551884662e-07,2.3336648596986128e-06,false,10000,0.99,5
libcxx,double,0.51,0.010000000000000009,LOG,0.9999,5000000,4999995,460.82210911118176,1.0660000000001175,0.9500000000001046,1.1860000000001305,1.0660010660011834,0.9500009500010546,1.1860011860013167,464.78586464021436,458.64702544427627,470.57572968606496,3.9637555290325963,true,1e-06,3.246973551884662e-07,2.3336648596986128e-06,false,10000,0.99,5
libcxx,double,0.75,0.25,SPLIT,0.99,5000000,5000000,9.479646273964422,0.9984999999999992,0.9868597999999991,1.010040199999999,0.9984999999999992,0.9868597999999991,1.010040199999999,9.476804919941172,9.455731536030004,9.497585700245523,-0.00284135402324992,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,double,0.75,0.25,SPLIT,0.999,5000000,5000000,14.08481646403701,1.0137999999999991,0.9771999999999991,1.0500009999999989,1.0137999999999991,0.9771999999999991,1.0500009999999989,14.111052002712771,14.044146947538302,14.183397081123244,0.02623553867576156,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,double,0.75,0.25,SPLIT,0.9999,5000000,5000000,18.689986650025734,1.0960000000001207,0.9780000000001078,1.2180000000001343,1.0960000000001207,0.9780000000001078,1.2180000000001343,18.833235907773254,18.672953841976252,19.032418407204048,0.14324925774752018,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
libcxx,double,0.75,0.25,LOG,0.99,5000000,5000000,9.479646273964422,0.9984999999999992,0.9868597999999991,1.010040199999999,0.9984999999999992,0.9868597999999991,1.010040199999999,9.476804919941172,9.455731536030004,9.497585700245523,-0.00284135402324992,true,0.0,0.0,5.991462752596988e-07,true,10000,0.99,5
