tag,method,precision,kappa,shape_a,scope,seed,bin_kind,bin_index,bin_lo,bin_hi,n_in_bin,n_success,success_definition,success_rate,ci_lo,ci_hi,interval_kind,is_upper_bound,protocol_sha256
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,0,0.1,1.0,900106,525380,a three-vector reached the caller,0.5836868102201296,0.582667626894068,0.5847054549648554,two_sided_clopper_pearson_0.95,false,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,1,0.01,0.1,89839,0,a three-vector reached the caller,0.0,0.0,3.334500970531007e-05,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,2,0.001,0.01,9057,0,a three-vector reached the caller,0.0,0.0,0.0003307096044526947,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,3,0.0001,0.001,886,0,a three-vector reached the caller,0.0,0.0,0.0033754778897359117,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,4,1e-05,0.0001,101,0,a three-vector reached the caller,0.0,0.0,0.029225153539039095,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,5,1e-06,1e-05,9,0,a three-vector reached the caller,0.0,0.0,0.2831288355631134,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,6,1e-08,1e-06,2,0,a three-vector reached the caller,0.0,0.0,0.776393202250021,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,0,0.1,1.0,900106,759081,a three-vector reached the caller,0.8433240085056649,0.842571418038655,0.8440743888811186,two_sided_clopper_pearson_0.95,false,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,1,0.01,0.1,89839,0,a three-vector reached the caller,0.0,0.0,3.334500970531007e-05,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,2,0.001,0.01,9057,0,a three-vector reached the caller,0.0,0.0,0.0003307096044526947,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,3,0.0001,0.001,886,0,a three-vector reached the caller,0.0,0.0,0.0033754778897359117,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,4,1e-05,0.0001,101,0,a three-vector reached the caller,0.0,0.0,0.029225153539039095,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,5,1e-06,1e-05,9,0,a three-vector reached the caller,0.0,0.0,0.2831288355631134,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,6,1e-08,1e-06,2,0,a three-vector reached the caller,0.0,0.0,0.776393202250021,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,0,0.1,1.0,900106,508420,a three-vector reached the caller,0.5648445849711035,0.5638196147079599,0.5658691379171152,two_sided_clopper_pearson_0.95,false,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,1,0.01,0.1,89839,0,a three-vector reached the caller,0.0,0.0,3.334500970531007e-05,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,2,0.001,0.01,9057,0,a three-vector reached the caller,0.0,0.0,0.0003307096044526947,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,3,0.0001,0.001,886,0,a three-vector reached the caller,0.0,0.0,0.0033754778897359117,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,4,1e-05,0.0001,101,0,a three-vector reached the caller,0.0,0.0,0.029225153539039095,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,5,1e-06,1e-05,9,0,a three-vector reached the caller,0.0,0.0,0.2831288355631134,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9001,target_upper_tail_q,6,1e-08,1e-06,2,0,a three-vector reached the caller,0.0,0.0,0.776393202250021,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,0,0.1,1.0,900233,525324,a three-vector reached the caller,0.5835422607258343,0.5825230991684418,0.584560884708052,two_sided_clopper_pearson_0.95,false,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,1,0.01,0.1,89899,0,a three-vector reached the caller,0.0,0.0,3.3322755094600254e-05,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,2,0.001,0.01,8936,0,a three-vector reached the caller,0.0,0.0,0.00033518690469869217,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,3,0.0001,0.001,836,0,a three-vector reached the caller,0.0,0.0,0.0035769990525073014,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,4,1e-05,0.0001,89,0,a three-vector reached the caller,0.0,0.0,0.03309972123627414,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,5,1e-06,1e-05,7,0,a three-vector reached the caller,0.0,0.0,0.34816365513116077,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,0,0.1,1.0,900233,758565,a three-vector reached the caller,0.8426318519760995,0.8418779690622211,0.8433835295692496,two_sided_clopper_pearson_0.95,false,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,1,0.01,0.1,89899,0,a three-vector reached the caller,0.0,0.0,3.3322755094600254e-05,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,2,0.001,0.01,8936,0,a three-vector reached the caller,0.0,0.0,0.00033518690469869217,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,3,0.0001,0.001,836,0,a three-vector reached the caller,0.0,0.0,0.0035769990525073014,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,4,1e-05,0.0001,89,0,a three-vector reached the caller,0.0,0.0,0.03309972123627414,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,5,1e-06,1e-05,7,0,a three-vector reached the caller,0.0,0.0,0.34816365513116077,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,0,0.1,1.0,900233,508311,a three-vector reached the caller,0.5646438199888251,0.5636188685688398,0.5656683554424607,two_sided_clopper_pearson_0.95,false,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,1,0.01,0.1,89899,0,a three-vector reached the caller,0.0,0.0,3.3322755094600254e-05,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,2,0.001,0.01,8936,0,a three-vector reached the caller,0.0,0.0,0.00033518690469869217,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,3,0.0001,0.001,836,0,a three-vector reached the caller,0.0,0.0,0.0035769990525073014,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,4,1e-05,0.0001,89,0,a three-vector reached the caller,0.0,0.0,0.03309972123627414,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9002,target_upper_tail_q,5,1e-06,1e-05,7,0,a three-vector reached the caller,0.0,0.0,0.34816365513116077,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,0,0.1,1.0,899981,525870,a three-vector reached the caller,0.584312335482638,0.5832932995521052,0.5853308287306711,two_sided_clopper_pearson_0.95,false,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,1,0.01,0.1,89852,0,a three-vector reached the caller,0.0,0.0,3.33401853508386e-05,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,2,0.001,0.01,9166,0,a three-vector reached the caller,0.0,0.0,0.00032677752322773923,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,3,0.0001,0.001,904,0,a three-vector reached the caller,0.0,0.0,0.0033083783503061737,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,4,1e-05,0.0001,84,0,a three-vector reached the caller,0.0,0.0,0.03503503060494206,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,LEGACY,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,5,1e-06,1e-05,13,0,a three-vector reached the caller,0.0,0.0,0.20581666518655062,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,0,0.1,1.0,899981,758749,a three-vector reached the caller,0.8430722426362335,0.8423191096592956,0.8438231668368401,two_sided_clopper_pearson_0.95,false,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,1,0.01,0.1,89852,0,a three-vector reached the caller,0.0,0.0,3.33401853508386e-05,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,2,0.001,0.01,9166,0,a three-vector reached the caller,0.0,0.0,0.00032677752322773923,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,3,0.0001,0.001,904,0,a three-vector reached the caller,0.0,0.0,0.0033083783503061737,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,4,1e-05,0.0001,84,0,a three-vector reached the caller,0.0,0.0,0.03503503060494206,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,5,1e-06,1e-05,13,0,a three-vector reached the caller,0.0,0.0,0.20581666518655062,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,0,0.1,1.0,899981,508625,a three-vector reached the caller,0.5651508198506413,0.5641258603210308,0.5661753600340227,two_sided_clopper_pearson_0.95,false,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,1,0.01,0.1,89852,0,a three-vector reached the caller,0.0,0.0,3.33401853508386e-05,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,2,0.001,0.01,9166,0,a three-vector reached the caller,0.0,0.0,0.00032677752322773923,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,3,0.0001,0.001,904,0,a three-vector reached the caller,0.0,0.0,0.0033083783503061737,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,4,1e-05,0.0001,84,0,a three-vector reached the caller,0.0,0.0,0.03503503060494206,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
libcxx,QF,double,0.501,0.0010000000000000009,seed,9003,target_upper_tail_q,5,1e-06,1e-05,13,0,a three-vector reached the caller,0.0,0.0,0.20581666518655062,one_sided_upper_0.95,true,c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
