phase,tag,stdlib,arch,execution,layer,scope,method,diagnostic_only,precision,kappa,shape_a,seed,n_attempted,cat_finite,cat_denominator_zero,cat_quotient_first_loss,cat_legacy_form_loss,cat_log_primitive_failure,cat_honest_overflow,cat_cap_reject,cat_cap_exhausted,cat_finite_but_wrong,cat_overflow_returned_finite,n_finite,n_avoidable,n_honest,nonfinite_output,candidate_avoidable_count,accounting_ok,accounting_residual,ref_nonrepresentable,honest_minus_ref,rotation_recoverable,near_limit,x2_zero,x2_subnormal,n_rel_err,mean_rel_err_radius,max_rel_err_radius,max_rel_error_threshold,max_log_r_ref,max_finite_log_component,honest_floor_rate,honest_floor_log10,observed_over_floor,audit_margin_log_units,audit_margin_assertions,audit_margin_assertion_failures,audit_min_unambiguous_margin,audited,seed_homogeneity_chi2,seed_homogeneity_p,cross_phase_native_agrees,protocol_sha256,failure_count,failure_n,failure_rate,failure_ci_lo,failure_ci_hi,failure_interval_kind,failure_is_upper_bound,avoidable_count,avoidable_n,avoidable_rate,avoidable_ci_lo,avoidable_ci_hi,avoidable_interval_kind,avoidable_is_upper_bound,honest_count,honest_n,honest_rate,honest_ci_lo,honest_ci_hi,honest_interval_kind,honest_is_upper_bound,boot_estimate,boot_lo,boot_hi,boot_conf,boot_resamples,boot_rng_seed,boot_kind,boot_n_seeds,boot_n_per_seed,boot_resolved,audit_within_margin_of_a_type_limit_total,audit_within_margin_of_a_type_limit_audited,audit_within_margin_of_a_type_limit_rate,audit_method_disagreement_total,audit_method_disagreement_audited,audit_method_disagreement_rate,audit_finite_but_wrong_candidate_total,audit_finite_but_wrong_candidate_audited,audit_finite_but_wrong_candidate_rate,audit_avoidable_loss_candidate_total,audit_avoidable_loss_candidate_audited,audit_avoidable_loss_candidate_rate,audit_subnormal_or_zero_denominator_representable_target_total,audit_subnormal_or_zero_denominator_representable_target_audited,audit_subnormal_or_zero_denominator_representable_target_rate,audit_unambiguous_failure_beyond_margin_total,audit_unambiguous_failure_beyond_margin_audited,audit_unambiguous_failure_beyond_margin_rate,audit_uniform_sample_total,audit_uniform_sample_audited,audit_uniform_sample_rate
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.5001,9.999999999998899e-05,8001,1000000,132641,0,0,0,0,867359,0,0,0,0,132641,0,867359,867359,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.4088310540851,0.8676187090640067,-0.061671091563729595,0.9997006645185338,nan,NA,NA,nan,NA,NA,NA,true,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48,867359,1000000,0.867359,0.8666926430042368,0.8680232283782902,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,867359,1000000,0.867359,0.8666926430042368,0.8680232283782902,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.5001,9.999999999998899e-05,8002,1000000,132195,0,0,0,0,867805,0,0,0,0,132195,0,867805,867805,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.582440042888,0.8676187090640067,-0.061671091563729595,1.0002147152130851,nan,NA,NA,nan,NA,NA,NA,true,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48,867805,1000000,0.867805,0.8671395897080725,0.868468279087129,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,867805,1000000,0.867805,0.8671395897080725,0.868468279087129,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.5001,9.999999999998899e-05,8003,1000000,132476,0,0,0,0,867524,0,0,0,0,132476,0,867524,867524,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.5865170478426,0.8676187090640067,-0.061671091563729595,0.999890840223917,nan,NA,NA,nan,NA,NA,NA,true,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48,867524,1000000,0.867524,0.8668579929505442,0.8681878774747921,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,867524,1000000,0.867524,0.8668579929505442,0.8681878774747921,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.5001,9.999999999998899e-05,8004,1000000,132075,0,0,0,0,867925,0,0,0,0,132075,0,867925,867925,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.5402302843206,0.8676187090640067,-0.061671091563729595,1.000353024817,nan,NA,NA,nan,NA,NA,NA,true,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48,867925,1000000,0.867925,0.8672598448543937,0.8685880232446591,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,867925,1000000,0.867925,0.8672598448543937,0.8685880232446591,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.5001,9.999999999998899e-05,8005,1000000,132235,0,0,0,0,867765,0,0,0,0,132235,0,867765,867765,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.5213146645907,0.8676187090640067,-0.061671091563729595,1.00016861201178,nan,NA,NA,nan,NA,NA,NA,true,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48,867765,1000000,0.867765,0.8670995046996611,0.8684283643275867,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,867765,1000000,0.867765,0.8670995046996611,0.8684283643275867,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.501,0.0010000000000000009,8001,1000000,759107,0,0,0,0,240893,0,0,0,0,759107,0,240893,240893,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.6149470574292,0.2417072840120317,-0.616710261638004,0.9966311151301871,nan,NA,NA,nan,NA,NA,NA,true,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48,240893,1000000,0.240893,0.24005512077780344,0.24173238027707727,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,240893,1000000,0.240893,0.24005512077780344,0.24173238027707727,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.501,0.0010000000000000009,8002,1000000,758711,0,0,0,0,241289,0,0,0,0,758711,0,241289,241289,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.5630600030678,0.2417072840120317,-0.616710261638004,0.9982694604602363,nan,NA,NA,nan,NA,NA,NA,true,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48,241289,1000000,0.241289,0.2404506498402267,0.24212884891988398,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,241289,1000000,0.241289,0.2404506498402267,0.24212884891988398,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.501,0.0010000000000000009,8003,1000000,758982,0,0,0,0,241018,0,0,0,0,758982,0,241018,241018,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.5538364679973,0.2417072840120317,-0.616710261638004,0.99714826959043,nan,NA,NA,nan,NA,NA,NA,true,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48,241018,1000000,0.241018,0.24017997201720995,0.24185752831331053,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,241018,1000000,0.241018,0.24017997201720995,0.24185752831331053,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.501,0.0010000000000000009,8004,1000000,757620,0,0,0,0,242380,0,0,0,0,757620,0,242380,242380,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.600137637762,0.2417072840120317,-0.616710261638004,1.0027831845892357,nan,NA,NA,nan,NA,NA,NA,true,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48,242380,1000000,0.24238,0.24154035745271818,0.243221134985225,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,242380,1000000,0.24238,0.24154035745271818,0.243221134985225,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
p2,libcxx,libc++,arm64,native,native,seed,CANDIDATE,false,double,0.501,0.0010000000000000009,8005,1000000,758733,0,0,0,0,241267,0,0,0,0,758733,0,241267,241267,0,true,0,NA,NA,NA,NA,0,0,0,0.0,0.0,nan,nan,710.5576404092873,0.2417072840120317,-0.616710261638004,0.9981784412752337,nan,NA,NA,nan,NA,NA,NA,true,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48,241267,1000000,0.241267,0.24042867597767678,0.24210682290993019,two_sided_clopper_pearson_0.95,false,0,1000000,0.0,0.0,2.9957277863923437e-06,one_sided_upper_0.95,true,241267,1000000,0.241267,0.24042867597767678,0.24210682290993019,two_sided_clopper_pearson_0.95,false,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan,NA,NA,nan
