precision,kappa,shape_a,honest_floor_rate,honest_floor_log10,type_max,log_type_max,configuration,protocol_sha256
double,0.5001,9.999999999998899e-05,0.8676187090640067,-0.061671091563729595,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
double,0.501,0.0010000000000000009,0.2417072840120317,-0.616710261638004,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
double,0.505,0.0050000000000000044,0.0008250174829405983,-3.0835368482207657,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
double,0.51,0.010000000000000009,6.807099853133865e-07,-6.167037878696566,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
double,0.55,0.050000000000000044,1.4661592253735326e-31,-30.833818862610254,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
double,0.6,0.09999999999999998,2.1652773135878944e-62,-61.664486474346006,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
double,0.75,0.25,7.226634591858603e-155,-154.14106390442845,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
double,1.0,0.5,5.887029691699243e-309,-308.23010377378375,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
double,1.25,0.75,0.0,-462.2841333604531,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
double,1.49,0.99,0.0,-610.1509403360283,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
double,1.5,1.0,0.0,-616.3115988737271,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
double,2.0,1.5,0.0,-924.3052718484457,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
double,5.0,4.5,0.0,-2771.2657916630274,1.7976931348623157e+308,709.782712893384,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,0.5001,9.999999999998899e-05,0.9823663634495767,-0.0077265163355729255,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,0.501,0.0010000000000000009,0.8370193357864253,-0.07726450935637734,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,0.505,0.0050000000000000044,0.4108581565246003,-0.3863080868126325,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,0.51,0.010000000000000009,0.16881834723269726,-0.7725803558802987,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,0.55,0.050000000000000044,0.00013755258343338465,-3.8615312485289164,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,0.6,0.09999999999999998,1.9058501638344972e-08,-7.719911246183416,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,0.75,0.25,5.252598024236797e-20,-19.279625834021886,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,1.0,0.5,3.110085776133525e-39,-38.50722763297066,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,1.25,0.75,1.9960933636618398e-58,-57.699819149233576,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,1.49,0.99,7.949767415355583e-77,-76.0996455772184,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,1.5,1.0,1.3619256769730939e-77,-76.86584659210105,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,2.0,1.5,7.300566714145701e-116,-115.13664342600647,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
float,5.0,4.5,0.0,-343.7599063957097,3.4028234663852886e+38,88.72283905206835,"isotropic, unrotated, theta_perp = theta_par = 1",c3b4a0a07877c0f8e2370ff7fdae98d3f3d96c15465aadb9eae00a280391c6a6
