control,effect_kind,effect_size,detection_statistic,injections,detections,power,power_ci_lo,power_ci_hi,power_interval_kind,power_is_upper_bound,required_power,passed,in_family,source_cell,injection_definition,note,protocol_sha256
NC1_radius_direction_coupling,level,0.0,"F5 loader battery including the upper-tail members of amendment 1.3.0, Holm jointly over the cell's applicable tests",200,0,0.0,0.0,0.014867039231272083,one_sided_upper_0.95,true,NA,NA,false,"C1 CANDIDATE, 500000 pooled returned samples","no draw is removed; this row is the rejection rate of the measurement itself, against which the rows below are read",NA,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
NC1_radius_direction_coupling,level,0.0,"the same F5 battery, with the removed draws declared as unresolved attempts",200,0,0.0,0.0,0.014867039231272083,one_sided_upper_0.95,true,NA,NA,false,"C1 CANDIDATE, 500000 pooled returned samples","the same injection, read as a loss the loader reports: the removed draws are counted toward every threshold and the denominator stays at the pre-injection attempt count, so the exceedance count is restored wherever the loss fraction is at or below q0",NA,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
NC1_radius_direction_coupling,loss_fraction,0.001,"F5 loader battery including the upper-tail members of amendment 1.3.0, Holm jointly over the cell's applicable tests",200,200,1.0,0.9817246596448638,1.0,two_sided_clopper_pearson_0.95,false,0.9,true,true,"C1 CANDIDATE, 500000 pooled returned samples","the q fraction of draws with the largest R*max_j|n_j| is removed and the cell reports no loss, which is the radius-direction coupling a finite-precision loss induces in a loader that silently conditions",NA,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
NC1_radius_direction_coupling,loss_fraction,0.001,"the same F5 battery, with the removed draws declared as unresolved attempts",200,200,1.0,0.9817246596448638,1.0,two_sided_clopper_pearson_0.95,false,0.9,true,false,"C1 CANDIDATE, 500000 pooled returned samples","the same injection, read as a loss the loader reports: the removed draws are counted toward every threshold and the denominator stays at the pre-injection attempt count, so the exceedance count is restored wherever the loss fraction is at or below q0",NA,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
NC1_radius_direction_coupling,loss_fraction,0.0001,"F5 loader battery including the upper-tail members of amendment 1.3.0, Holm jointly over the cell's applicable tests",200,200,1.0,0.9817246596448638,1.0,two_sided_clopper_pearson_0.95,false,0.9,true,true,"C1 CANDIDATE, 500000 pooled returned samples","the q fraction of draws with the largest R*max_j|n_j| is removed and the cell reports no loss, which is the radius-direction coupling a finite-precision loss induces in a loader that silently conditions",NA,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
NC1_radius_direction_coupling,loss_fraction,0.0001,"the same F5 battery, with the removed draws declared as unresolved attempts",200,200,1.0,0.9817246596448638,1.0,two_sided_clopper_pearson_0.95,false,0.9,true,false,"C1 CANDIDATE, 500000 pooled returned samples","the same injection, read as a loss the loader reports: the removed draws are counted toward every threshold and the denominator stays at the pre-injection attempt count, so the exceedance count is restored wherever the loss fraction is at or below q0",NA,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
NC2_capped_vs_uncapped_weak_cap,cap_lambda,20.0,"F1 radial law, Simes over AD/KS/CvM on Z",200,200,1.0,0.9817246596448638,1.0,two_sided_clopper_pearson_0.95,false,0.9,true,true,"C6 CANDIDATE, 500000 returned samples","the bounded sample is tested against the UNCAPPED law at the weakest declared cap, which is the smallest version of this effect the protocol declares","replicates are drawn from the measured capped sample WITH replacement, which inflates the null of the three F1 statistics; the detection rate below is therefore an upper bound on the power at this cap, and the effect is far larger than the inflation",914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
NC3_survivor_conditioning,level,0.0,"F5 loader battery including the upper-tail members of amendment 1.4.0, Holm jointly over the cell's applicable tests",200,2,0.01,0.0012133490137360308,0.035654668397239776,two_sided_clopper_pearson_0.95,false,NA,NA,false,C4 CANDIDATE double kappa=0.505; n = 500000; measured loss fraction 0.00081,"honest overflow alone, at the cell's own direction-dependent representability boundary, correctly reported: a CORRECT loader, so this row is the battery's false-rejection rate and carries no power threshold",NA,914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
NC3_survivor_conditioning,excess_loss_fraction,0.001,"F5 loader battery including the upper-tail members of amendment 1.4.0, Holm jointly over the cell's applicable tests",200,200,1.0,0.9817246596448638,1.0,two_sided_clopper_pearson_0.95,false,0.9,true,true,C4 CANDIDATE double kappa=0.505; n = 500000; measured loss fraction 0.00081,"honest overflow, plus a further q fraction of the draws the type WOULD have allowed back, removed silently -- conditioning in excess of what the floor forces, which is the defect the battery exists to exclude","the largest loss fraction among the UNCAPPED LOADER CELLS (C0-C4), not the global maximum over the scalar ladder. The earlier wording said 'whose loss is not dominated by honest overflow', which is unusable: G1 requires the candidate's avoidable loss to be exactly zero, so every loss it has is honest overflow and that qualifier empties the set. What it was there to exclude is the degenerate scalar configurations -- float kappa = 0.5001 loses 98 per cent of its draws, where detection is trivial and says nothing -- not any cell from among C0-C4.",914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
NC3_survivor_conditioning,excess_loss_fraction,0.0001,"F5 loader battery including the upper-tail members of amendment 1.4.0, Holm jointly over the cell's applicable tests",200,200,1.0,0.9817246596448638,1.0,two_sided_clopper_pearson_0.95,false,0.9,true,true,C4 CANDIDATE double kappa=0.505; n = 500000; measured loss fraction 0.00081,"honest overflow, plus a further q fraction of the draws the type WOULD have allowed back, removed silently -- conditioning in excess of what the floor forces, which is the defect the battery exists to exclude","the largest loss fraction among the UNCAPPED LOADER CELLS (C0-C4), not the global maximum over the scalar ladder. The earlier wording said 'whose loss is not dominated by honest overflow', which is unusable: G1 requires the candidate's avoidable loss to be exactly zero, so every loss it has is honest overflow and that qualifier empties the set. What it was there to exclude is the degenerate scalar configurations -- float kappa = 0.5001 loses 98 per cent of its draws, where detection is trivial and says nothing -- not any cell from among C0-C4.",914c5d1d2b6900d872402a545f46a99819038987416d1b882909eb4ca2bafa48
