scope,tag,stdlib,arch,case,method,precision,kappa,cap,block,slot,candidate_first,seed,n_returned,n_finite,n_nonfinite,attempts_reported,seconds,seconds_per_returned,ratio_candidate_over_legacy,ratio_lo,ratio_hi,ratio_conf,boot_kind,boot_resamples,boot_rng_seed,boot_n_seeds,pre_registered_bound,repeat_identical,protocol_sha256
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,0,0,true,7006,25441951,25441933,18,25441951,2.07658033,8.162032597264259e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,0,1,true,7006,19957085,19945497,11588,0,1.81500642,9.094546708599978e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,1,1,false,7007,25441951,25441936,15,25441951,2.07717012,8.164350780331272e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,1,0,false,7007,19957085,19945472,11613,0,1.81691833,9.104126845178041e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,2,1,false,7008,25441951,25441936,15,25441951,2.0755055,8.15780794483882e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,2,0,false,7008,19957085,19945447,11638,0,1.8166485,9.102774778982001e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,3,0,true,7009,25441951,25441936,15,25441951,2.07676858,8.16277251300421e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,3,1,true,7009,19957085,19945574,11511,0,1.81644588,9.101759475394328e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
block,libcxx,libc++,arm64,B0,CANDIDATE,double,0.51,NA,4,1,false,7010,25441951,25441932,19,25441951,2.07516983,8.156488604195488e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
block,libcxx,libc++,arm64,B0,LEGACY,double,0.51,NA,4,0,false,7010,19957085,19945637,11448,0,1.81334904,9.086242013801114e-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
