tag,method,precision,kappa,shape_a,scope,p,log_r_target,n_attempts,n_success,success_definition,n_above_target_all_attempts,n_above_target_and_returned,failure_atom_mass_per_attempt,per_attempt_law_has_failure_atom,per_attempt_quantile_reported,per_attempt_quantile_reason,tail_mass_per_attempt,tail_mass_per_attempt_lo,tail_mass_per_attempt_hi,returned_tail_ratio_per_attempt,returned_tail_ratio_per_attempt_lo,returned_tail_ratio_per_attempt_hi,tail_mass_conditional_on_success,tail_mass_conditional_on_success_lo,tail_mass_conditional_on_success_hi,returned_tail_ratio_conditional_on_success,returned_tail_ratio_conditional_on_success_lo,returned_tail_ratio_conditional_on_success_hi,boot_conf,boot_resamples,boot_kind,boot_n_seeds,boot_n_per_seed,protocol_sha256
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,pooled,0.99,2302.8917684116877,5000000,3792335,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",49750,0,0.241533,true,false,"the per-attempt law of this method puts an atom of mass 0.241533 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,pooled,0.999,3454.184314908709,5000000,3792335,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",5028,0,0.241533,true,false,"the per-attempt law of this method puts an atom of mass 0.241533 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,double,0.501,0.0010000000000000009,pooled,0.9999,4605.4768614057875,5000000,3792335,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",469,0,0.241533,true,false,"the per-attempt law of this method puts an atom of mass 0.241533 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,double,0.505,0.0050000000000000044,pooled,0.99,460.8229870221404,5000000,4995886,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",49743,45629,0.0008228000000000124,true,false,"the per-attempt law of this method puts an atom of mass 0.0008228 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0091258,0.006,0.0127,0.9125799999999992,0.5999999999999995,1.269999999999999,0.00913331489149272,0.005803482089253552,0.012611350215193674,0.9133314891492712,0.5803482089253547,1.2611350215193662,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,double,0.505,0.0050000000000000044,pooled,0.999,691.0814963215446,5000000,4995886,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",5026,912,0.0008228000000000124,true,false,"the per-attempt law of this method puts an atom of mass 0.0008228 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0001824,0.0,0.0006,0.18239999999999984,0.0,0.5999999999999994,0.00018255020230645777,0.0,0.0006007813161315598,0.1825502023064576,0.0,0.6007813161315593,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,double,0.505,0.0050000000000000044,pooled,0.9999,921.3400056209603,5000000,4995886,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",464,0,0.0008228000000000124,true,false,"the per-attempt law of this method puts an atom of mass 0.0008228 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,double,0.51,0.010000000000000009,pooled,0.99,230.56359981177187,5000000,4999996,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",49749,49745,8.000000000230045e-07,true,false,"the per-attempt law of this method puts an atom of mass 8e-07 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.009949,0.006,0.012,0.9948999999999991,0.5999999999999995,1.199999999999999,0.009949007959206368,0.0061,0.012,0.994900795920636,0.6099999999999995,1.199999999999999,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,double,0.51,0.010000000000000009,pooled,0.999,345.692854461474,5000000,4999996,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",5021,5017,8.000000000230045e-07,true,false,"the per-attempt law of this method puts an atom of mass 8e-07 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0010034,0.0004,0.0024,1.0033999999999992,0.3999999999999997,2.3999999999999977,0.0010034008027206421,0.0004,0.0023,1.0034008027206411,0.3999999999999997,2.299999999999998,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,double,0.51,0.010000000000000009,pooled,0.9999,460.82210911118176,5000000,4999996,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",474,470,8.000000000230045e-07,true,false,"the per-attempt law of this method puts an atom of mass 8e-07 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",9.4e-05,0.0,0.0006,0.9400000000001034,0.0,6.00000000000066,9.400007520006016e-05,0.0,0.0006,0.9400007520007051,0.0,6.00000000000066,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,double,0.75,0.25,pooled,0.99,9.479646273964422,5000000,5000000,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",49783,49783,0.0,false,false,"the per-attempt law of this method puts an atom of mass 0 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0099566,0.0062,0.0127,0.9956599999999991,0.6199999999999994,1.269999999999999,0.0099566,0.0064,0.0125,0.9956599999999991,0.6399999999999995,1.249999999999999,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,double,0.75,0.25,pooled,0.999,14.08481646403701,5000000,5000000,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",4988,4988,0.0,false,false,"the per-attempt law of this method puts an atom of mass 0 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0009976,0.0002,0.0022,0.997599999999999,0.19999999999999984,2.199999999999998,0.0009976,0.0002,0.0022,0.997599999999999,0.19999999999999984,2.199999999999998,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,double,0.75,0.25,pooled,0.9999,18.689986650025734,5000000,5000000,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",473,473,0.0,false,false,"the per-attempt law of this method puts an atom of mass 0 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",9.46e-05,0.0,0.0,0.9460000000001041,0.0,0.0,9.46e-05,0.0,0.0,0.9460000000001041,0.0,0.0,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,float,0.55,0.050000000000000044,pooled,0.99,46.34999351481097,5000000,4999300,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",50121,49421,0.000140000000000029,true,false,"the per-attempt law of this method puts an atom of mass 0.00014 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0098842,0.0061,0.0127,0.9884199999999991,0.6099999999999995,1.269999999999999,0.009885583981757446,0.005900590059005901,0.0128,0.9885583981757438,0.5900590059005896,1.279999999999999,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,float,0.55,0.050000000000000044,pooled,0.999,69.3758444447514,5000000,4999300,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",5007,4307,0.000140000000000029,true,false,"the per-attempt law of this method puts an atom of mass 0.00014 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0008614,0.0002,0.0019,0.8613999999999993,0.19999999999999984,1.8999999999999984,0.000861520612885804,0.0002,0.0019001909692869666,0.8615206128858033,0.19999999999999984,1.900190969286965,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,float,0.55,0.050000000000000044,pooled,0.9999,92.40169537469296,5000000,4999300,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",524,0,0.000140000000000029,true,false,"the per-attempt law of this method puts an atom of mass 0.00014 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,float,0.6,0.09999999999999998,pooled,0.99,23.316165495932108,5000000,5000000,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",50152,50152,0.0,false,false,"the per-attempt law of this method puts an atom of mass 0 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0100304,0.0082,0.0142,1.003039999999999,0.8199999999999994,1.4199999999999988,0.0100304,0.008,0.0141,1.003039999999999,0.7999999999999993,1.4099999999999988,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
libcxx,CANDIDATE,float,0.6,0.09999999999999998,pooled,0.999,34.829090960902334,5000000,5000000,"a three-vector reached the caller: terminal category finite, finite_but_wrong or overflow_returned_finite",4976,4976,0.0,false,false,"the per-attempt law of this method puts an atom of mass 0 on failure, so its upper quantiles are undefined; the tail MASS above the target quantile is reported instead",0.0009952,0.0002,0.0017,0.995199999999999,0.19999999999999984,1.6999999999999984,0.0009952,0.0002,0.0017,0.995199999999999,0.19999999999999984,1.6999999999999984,0.99,10000,cluster_over_seeds,5,2000,7d6e05fbbf3cd9f864b265ffa6122b0ea4fd88757752dbc00ba634762d91b76b
